time,blocking,"('SEQSUINET, Rice University, Houston', 'SURANET, Georgia Tech, Atlanta')","('SEQSUINET, Rice University, Houston', 'NCSA, University of Illinois, Champaign')","('SEQSUINET, Rice University, Houston', 'San Diego Supercomputer Center')","('Jon Von Neumann Center, Princeton, NJ', 'SURANET, Georgia Tech, Atlanta')","('Jon Von Neumann Center, Princeton, NJ', 'Cornell Theory Center, Ithaca NY')","('Pittsburgh Supercomputer Center', 'Merit Univ of Michigan, Ann Arbor')","('Cornell Theory Center, Ithaca NY', 'Merit Univ of Michigan, Ann Arbor')","('NorthWestNet, Seattle', 'NCAR, Boulder')","('NorthWestNet, Seattle', 'BARRnet, Palo Alto')","('BARRnet, Palo Alto', 'Merit Univ of Michigan, Ann Arbor')","('BARRnet, Palo Alto', 'San Diego Supercomputer Center')","('Westnet, Salt Lake City', 'NCAR, Boulder')","('NCAR, Boulder', 'NCSA, University of Illinois, Champaign')","('MIDnet, Lincoln, NE', 'NCSA, University of Illinois, Champaign')","('NCSA, University of Illinois, Champaign', 'Merit Univ of Michigan, Ann Arbor')"
42,0,0.9,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1,0.9,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1,0.9,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0,0.9,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0,0.8,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0,0.9,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1,0.8,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0,0.9,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0,0.9,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0,0.9,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0,0.9,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
