time,"SEQSUINET, Rice University, Houston, SURANET, Georgia Tech, Atlanta","SEQSUINET, Rice University, Houston, NCSA, University of Illinois, Champaign","SEQSUINET, Rice University, Houston, San Diego Supercomputer Center","Jon Von Neumann Center, Princeton, NJ, SURANET, Georgia Tech, Atlanta","Jon Von Neumann Center, Princeton, NJ, Cornell Theory Center, Ithaca NY","Pittsburgh Supercomputer Center, Merit Univ of Michigan, Ann Arbor","Cornell Theory Center, Ithaca NY, Merit Univ of Michigan, Ann Arbor","NorthWestNet, Seattle, NCAR, Boulder","NorthWestNet, Seattle, BARRnet, Palo Alto","BARRnet, Palo Alto, Merit Univ of Michigan, Ann Arbor","BARRnet, Palo Alto, San Diego Supercomputer Center","Westnet, Salt Lake City, NCAR, Boulder","NCAR, Boulder, NCSA, University of Illinois, Champaign","MIDnet, Lincoln, NE, NCSA, University of Illinois, Champaign","NCSA, University of Illinois, Champaign, Merit Univ of Michigan, Ann Arbor"
43,0.3,0.2,0.5,0.3,0.4,0.2,0.3,0.4,0.4,0.4,0.5,0.1,0.5,0.1,0.4
44,0.4,0.3,0.5,0.3,0.4,0.2,0.3,0.5,0.5,0.4,0.6,0.1,0.6,0.1,0.4
45,0.5,0.3,0.6,0.4,0.5,0.3,0.4,0.5,0.5,0.4,0.6,0.1,0.6,0.1,0.4
46,0.5,0.3,0.6,0.4,0.5,0.3,0.4,0.5,0.5,0.5,0.6,0.1,0.6,0.1,0.5
47,0.6,0.4,0.6,0.5,0.5,0.4,0.4,0.6,0.6,0.6,0.6,0.1,0.7,0.1,0.5
48,0.5,0.3,0.5,0.4,0.4,0.4,0.4,0.6,0.6,0.4,0.6,0.0,0.6,0.1,0.4
49,0.5,0.3,0.5,0.4,0.4,0.5,0.4,0.7,0.7,0.4,0.7,0.0,0.7,0.1,0.5
50,0.5,0.4,0.5,0.4,0.4,0.5,0.4,0.7,0.7,0.4,0.7,0.0,0.6,0.1,0.5
51,0.5,0.4,0.5,0.4,0.3,0.5,0.3,0.7,0.7,0.3,0.7,0.0,0.6,0.1,0.5
52,0.5,0.4,0.5,0.4,0.3,0.4,0.3,0.7,0.7,0.2,0.6,0.0,0.6,0.1,0.5
53,0.5,0.4,0.5,0.4,0.3,0.4,0.3,0.7,0.7,0.2,0.6,0.0,0.6,0.1,0.5
54,0.5,0.5,0.5,0.4,0.3,0.4,0.3,0.7,0.7,0.2,0.6,0.0,0.6,0.1,0.5
55,0.5,0.4,0.6,0.5,0.4,0.5,0.4,0.7,0.7,0.2,0.6,0.0,0.6,0.2,0.5
56,0.5,0.4,0.6,0.5,0.4,0.5,0.4,0.8,0.8,0.3,0.6,0.1,0.6,0.2,0.6
57,0.4,0.5,0.6,0.4,0.4,0.5,0.3,0.7,0.7,0.4,0.6,0.1,0.5,0.3,0.5
58,0.4,0.6,0.5,0.4,0.4,0.5,0.3,0.7,0.7,0.4,0.5,0.1,0.5,0.3,0.5
59,0.5,0.7,0.5,0.5,0.4,0.5,0.3,0.7,0.7,0.4,0.5,0.2,0.6,0.3,0.5
60,0.5,0.7,0.5,0.5,0.4,0.5,0.3,0.7,0.7,0.4,0.5,0.2,0.6,0.3,0.5
61,0.5,0.7,0.6,0.5,0.4,0.5,0.3,0.6,0.7,0.5,0.6,0.2,0.5,0.3,0.6
62,0.6,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.5,0.4,0.5,0.2,0.4,0.3,0.3
63,0.6,0.6,0.6,0.6,0.5,0.3,0.4,0.5,0.6,0.4,0.6,0.2,0.4,0.3,0.3
64,0.6,0.5,0.5,0.6,0.4,0.3,0.3,0.5,0.5,0.4,0.5,0.3,0.4,0.3,0.2
65,0.6,0.5,0.5,0.6,0.5,0.3,0.3,0.5,0.5,0.4,0.5,0.3,0.4,0.3,0.2
66,0.5,0.4,0.5,0.5,0.5,0.2,0.3,0.4,0.5,0.4,0.5,0.3,0.3,0.4,0.3
67,0.5,0.5,0.6,0.5,0.5,0.2,0.3,0.4,0.5,0.4,0.6,0.3,0.3,0.4,0.3
68,0.5,0.5,0.6,0.5,0.4,0.1,0.2,0.3,0.5,0.4,0.6,0.3,0.2,0.3,0.3
69,0.5,0.4,0.6,0.5,0.4,0.1,0.3,0.3,0.5,0.4,0.6,0.3,0.2,0.3,0.4
70,0.5,0.4,0.6,0.5,0.5,0.1,0.4,0.2,0.4,0.4,0.7,0.2,0.2,0.3,0.3
71,0.5,0.4,0.6,0.6,0.6,0.1,0.5,0.3,0.5,0.4,0.7,0.2,0.3,0.3,0.4
72,0.6,0.5,0.6,0.7,0.7,0.1,0.6,0.3,0.5,0.5,0.7,0.2,0.3,0.3,0.4
73,0.6,0.5,0.6,0.7,0.7,0.1,0.6,0.3,0.5,0.5,0.7,0.2,0.3,0.3,0.4
74,0.6,0.5,0.5,0.7,0.7,0.2,0.6,0.4,0.5,0.4,0.6,0.2,0.4,0.1,0.3
75,0.5,0.4,0.5,0.7,0.7,0.2,0.7,0.4,0.5,0.5,0.6,0.2,0.4,0.2,0.3
76,0.6,0.4,0.6,0.8,0.8,0.2,0.7,0.4,0.5,0.6,0.7,0.2,0.4,0.2,0.4
77,0.4,0.3,0.5,0.6,0.7,0.2,0.6,0.3,0.5,0.7,0.6,0.1,0.3,0.3,0.5
78,0.4,0.3,0.5,0.6,0.7,0.2,0.6,0.4,0.6,0.7,0.6,0.1,0.3,0.3,0.5
79,0.4,0.4,0.4,0.6,0.6,0.1,0.5,0.5,0.7,0.8,0.5,0.1,0.4,0.3,0.4
80,0.4,0.3,0.3,0.6,0.5,0.1,0.4,0.5,0.7,0.8,0.4,0.1,0.4,0.3,0.5
81,0.4,0.3,0.3,0.6,0.5,0.1,0.4,0.5,0.7,0.8,0.4,0.1,0.4,0.3,0.5
82,0.4,0.3,0.3,0.6,0.5,0.1,0.4,0.5,0.7,0.8,0.4,0.0,0.4,0.3,0.5
