time,"SEQSUINET, Rice University, Houston, SURANET, Georgia Tech, Atlanta","SEQSUINET, Rice University, Houston, NCSA, University of Illinois, Champaign","SEQSUINET, Rice University, Houston, San Diego Supercomputer Center","Jon Von Neumann Center, Princeton, NJ, SURANET, Georgia Tech, Atlanta","Jon Von Neumann Center, Princeton, NJ, Cornell Theory Center, Ithaca NY","Pittsburgh Supercomputer Center, Merit Univ of Michigan, Ann Arbor","Cornell Theory Center, Ithaca NY, Merit Univ of Michigan, Ann Arbor","NorthWestNet, Seattle, NCAR, Boulder","NorthWestNet, Seattle, BARRnet, Palo Alto","BARRnet, Palo Alto, Merit Univ of Michigan, Ann Arbor","BARRnet, Palo Alto, San Diego Supercomputer Center","Westnet, Salt Lake City, NCAR, Boulder","NCAR, Boulder, NCSA, University of Illinois, Champaign","MIDnet, Lincoln, NE, NCSA, University of Illinois, Champaign","NCSA, University of Illinois, Champaign, Merit Univ of Michigan, Ann Arbor"
43,0.4,0.5,0.5,0.3,0.3,0.4,0.4,0.6,0.2,0.6,0.7,0.1,0.6,0.3,0.6
44,0.4,0.5,0.5,0.3,0.3,0.3,0.4,0.5,0.2,0.6,0.7,0.1,0.5,0.3,0.5
45,0.4,0.5,0.5,0.3,0.3,0.3,0.4,0.5,0.3,0.6,0.6,0.1,0.6,0.2,0.5
46,0.3,0.5,0.6,0.2,0.1,0.3,0.3,0.5,0.4,0.5,0.6,0.1,0.5,0.2,0.6
47,0.3,0.5,0.5,0.2,0.1,0.2,0.3,0.6,0.5,0.4,0.6,0.1,0.6,0.2,0.6
48,0.3,0.5,0.3,0.3,0.1,0.2,0.3,0.6,0.5,0.2,0.4,0.2,0.6,0.1,0.5
49,0.4,0.5,0.4,0.4,0.2,0.2,0.3,0.6,0.6,0.2,0.5,0.2,0.6,0.1,0.5
50,0.4,0.5,0.4,0.4,0.2,0.2,0.3,0.6,0.7,0.2,0.5,0.2,0.5,0.2,0.5
51,0.5,0.6,0.4,0.5,0.3,0.2,0.4,0.6,0.7,0.2,0.5,0.2,0.5,0.3,0.5
52,0.6,0.6,0.5,0.6,0.4,0.3,0.3,0.5,0.7,0.3,0.6,0.2,0.4,0.2,0.4
53,0.6,0.5,0.4,0.6,0.4,0.3,0.3,0.5,0.7,0.4,0.5,0.1,0.4,0.2,0.3
54,0.7,0.5,0.5,0.6,0.5,0.3,0.4,0.5,0.7,0.5,0.6,0.1,0.4,0.2,0.3
55,0.7,0.5,0.5,0.6,0.5,0.2,0.4,0.4,0.6,0.5,0.6,0.1,0.3,0.2,0.2
56,0.7,0.6,0.5,0.6,0.5,0.2,0.4,0.5,0.7,0.5,0.7,0.1,0.4,0.2,0.2
57,0.7,0.6,0.5,0.6,0.5,0.2,0.4,0.5,0.7,0.5,0.7,0.1,0.4,0.2,0.2
58,0.7,0.6,0.5,0.6,0.5,0.2,0.4,0.5,0.7,0.5,0.7,0.1,0.4,0.2,0.2
59,0.6,0.5,0.5,0.4,0.5,0.2,0.4,0.5,0.7,0.5,0.7,0.0,0.3,0.2,0.2
60,0.5,0.4,0.3,0.4,0.5,0.2,0.5,0.4,0.5,0.5,0.5,0.0,0.4,0.2,0.2
61,0.6,0.4,0.3,0.5,0.6,0.1,0.6,0.4,0.5,0.6,0.4,0.0,0.3,0.3,0.2
62,0.6,0.5,0.4,0.5,0.6,0.1,0.6,0.4,0.5,0.6,0.4,0.0,0.3,0.3,0.3
63,0.6,0.5,0.4,0.5,0.6,0.1,0.6,0.4,0.5,0.6,0.4,0.0,0.3,0.3,0.3
64,0.5,0.4,0.4,0.4,0.5,0.1,0.5,0.5,0.5,0.6,0.4,0.0,0.3,0.4,0.3
65,0.4,0.4,0.3,0.4,0.4,0.1,0.4,0.5,0.5,0.5,0.3,0.0,0.3,0.4,0.3
