Wall time,Step,Value
1716150701.2203026,1000,358.6000061035156
1716150783.091733,2000,357.6499938964844
1716150867.985156,3000,359.8333435058594
1716150952.8166676,4000,361.7749938964844
1716151038.9676576,5000,363.0400085449219
1716151127.2099664,6000,366.54998779296875
1716151216.0544975,7000,369.4857177734375
1716151305.3212142,8000,373.45001220703125
1716151394.4364703,9000,376.73333740234375
1716151483.989846,10000,379.4599914550781
