Wall time,Step,Value
1716150701.2193027,1000,383.0
1716150783.091733,2000,385.0
1716150867.985156,3000,393.0
1716150952.8166676,4000,393.0
1716151038.9676576,5000,404.0
1716151127.2089663,6000,410.0
1716151216.0544975,7000,416.0
1716151305.3212142,8000,427.0
1716151394.434968,9000,427.0
1716151483.988846,10000,443.0
