Wall time,Step,Value
1716150697.6402397,4000,400.0
1716150734.5289056,8000,401.0
1716150816.9344728,12000,401.0
1716150902.062259,16000,410.0
1716150986.9416013,20000,425.0
1716151073.5417979,24000,425.0
1716151161.840685,28000,412.0
1716151250.437258,32000,403.0
1716151339.867466,36000,403.0
1716151429.0095167,40000,402.0
