Wall time,Step,Value
1716151791.2489555,4000,370.0
1716151876.3601475,8000,372.0
1716151963.5299206,12000,386.0
1716152052.5889666,16000,406.0
1716152141.4596782,20000,406.0
1716152231.2302403,24000,391.0
1716152321.083423,28000,389.0
1716152410.9432626,32000,389.0
1716152501.2315638,36000,389.0
1716152591.6513712,40000,389.0
