Wall time,Step,Value
1716150718.5694773,4000,414.0
1716150800.533954,8000,427.0
1716150885.6003356,12000,427.0
1716150970.491908,16000,427.0
1716151057.0531158,20000,410.0
1716151145.181275,24000,402.0
1716151233.9412704,28000,402.0
1716151323.212851,32000,404.0
1716151412.3315508,36000,419.0
1716151501.913821,40000,427.0
